State,State_Code,Region,Date,Admin_Per_100K,Admin_Per_100k_65Plus,Incident_Rate,Case_Fatality_Ratio,Confirmed,Deaths,Color
Alaska,AK,West,2023-01-04,178544,307835,41255.56185880568,0.4821025635928072,301803,1455,#ffa600
Arizona,AZ,West,2023-01-04,196815,333216,32760.182872888174,1.3550310523581046,2384521,32311,#ffa600
California,CA,West,2023-01-04,219701,339674,29961.93861327417,0.8340071163651734,11846132,98642,#ffa600
Colorado,CO,West,2023-01-04,221682,368925,30167.106114953003,0.7994847010552346,1737244,13889,#ffa600
Hawaii,HI,West,2023-01-04,244244,362141,26380.49202187768,0.4725391819316009,373514,1765,#ffa600
Idaho,ID,West,2023-01-04,159084,310313,28690.954162271657,1.037591228063332,512726,5320,#ffa600
Montana,MT,West,2023-01-04,172534,309943,30226.576520100527,1.1208617727631518,323055,3621,#ffa600
New Mexico,NM,West,2023-01-04,222195,354576,31483.063235008674,1.3377343799704913,660146,8831,#ffa600
Nevada,NV,West,2023-01-04,179059,298409,28549.04102259756,1.3384810457664993,879355,11770,#ffa600
Oregon,OR,West,2023-01-04,217845,343742,22337.12059334188,0.9578387489505064,942121,9024,#ffa600
Utah,UT,West,2023-01-04,188578,347303,33525.95386464826,0.4825888421217162,1074828,5187,#ffa600
Washington,WA,West,2023-01-04,227668,367918,24809.29147658411,0.800497141384109,1889201,15123,#ffa600
Wyoming,WY,West,2023-01-04,146201,283886,31645.46901214496,1.0690632319779854,183151,1958,#ffa600
Alabama,AL,South,2023-01-04,141498,260334,32371.28519523534,1.3089519815728592,1587224,20776,#61ad44
Arkansas,AR,South,2023-01-04,159523,283197,32707.52507452439,1.2864609558390718,987049,12698,#61ad44
District of Columbia,DC,South,2023-01-04,274367,415826,24567.65790670621,0.8137911942140658,173386,1411,#61ad44
Delaware,DE,South,2023-01-04,219667,369875,33185.761642451354,0.995819291909974,323151,3218,#61ad44
Florida,FL,South,2023-01-04,193206,317335,34167.95261064981,1.1433667057164112,7338503,83906,#61ad44
Georgia,GA,South,2023-01-04,158784,285285,28245.94065810508,1.3844656419442405,2998991,41520,#61ad44
Kentucky,KY,South,2023-01-04,166001,297933,37292.63533835176,1.0621728538220396,1666113,17697,#61ad44
Louisiana,LA,South,2023-01-04,147973,277684,32722.52975718004,1.2091745809073478,1521203,18394,#61ad44
Maryland,MD,South,2023-01-04,239003,370767,21882.451601804925,1.2098782789583526,1322943,16006,#61ad44
Mississippi,MS,South,2023-01-04,143000,270198,32287.462758081,1.3645214028595425,960923,13112,#61ad44
North Carolina,NC,South,2023-01-04,183469,316978,32034.41162370553,0.8244250543783015,3359796,27699,#61ad44
Oklahoma,OK,South,2023-01-04,168889,308929,31590.148120873266,1.392945513366661,1250013,17412,#61ad44
South Carolina,SC,South,2023-01-04,165989,301654,34584.344750941695,1.0585466310317193,1780649,18849,#61ad44
Tennessee,TN,South,2023-01-04,163783,304705,35729.782254779275,1.171656798695436,2446382,28652,#61ad44
Texas,TX,South,2023-01-04,177927,300460,28493.881596492964,1.1127865087268878,8245804,91717,#61ad44
Virginia,VA,South,2023-01-04,225799,357023,25914.628038435625,1.0256118136592722,2211948,22686,#61ad44
West Virginia,WV,South,2023-01-04,171227,292209,34967.778870818074,1.2266345819357434,626674,7687,#61ad44
Connecticut,CT,Northeast,2023-01-04,249710,387339,26706.181017124287,1.239613002965913,952152,11803,#00918e
Massachusetts,MA,Northeast,2023-01-04,258375,382956,31264.20111822948,1.0645574754302547,2154886,22940,#00918e
Maine,ME,Northeast,2023-01-04,257860,412072,22844.23885518058,0.908898477570626,307075,2791,#00918e
New Hampshire,NH,Northeast,2023-01-04,213740,350035,27119.21871633016,0.777235093276347,368738,2866,#00918e
New Jersey,NJ,Northeast,2023-01-04,220063,324877,33111.72132098053,1.2089236278521316,2941046,35555,#00918e
New York,NY,Northeast,2023-01-04,228758,328037,33908.02845813165,1.1420005612220998,6596319,75330,#00918e
Pennsylvania,PA,Northeast,2023-01-04,210796,346111,26807.24846740612,1.4287874712874444,3431861,49034,#00918e
Rhode Island,RI,Northeast,2023-01-04,246937,384396,41878.54753950731,0.8497785391472912,443645,3770,#00918e
Vermont,VT,Northeast,2023-01-04,276056,424747,23852.183291692643,0.5314610138744247,148835,791,#00918e
Iowa,IA,Midwest,2023-01-04,191151,357583,28166.31643671932,1.1773814038329318,888667,10463,#346888
Illinois,IL,Midwest,2023-01-04,208268,333807,31367.701611315373,1.0239860080571412,3974859,40702,#346888
Indiana,IN,Midwest,2023-01-04,163716,311041,29515.03805803109,1.3204215162728854,2010174,25372,#346888
Kansas,KS,Midwest,2023-01-04,181520,328050,31584.683285083585,1.059923209090583,919770,9753,#346888
Michigan,MI,Midwest,2023-01-04,184503,324944,30023.930451792792,1.3619050128283074,2998447,40836,#346888
Minnesota,MN,Midwest,2023-01-04,222780,388376,30797.98469119971,0.8244606892882866,1736893,14320,#346888
Missouri,MO,Midwest,2023-01-04,168766,303262,28340.91088319081,1.281244197003225,1739403,22286,#346888
North Dakota,ND,Midwest,2023-01-04,169334,317669,36818.92024533437,0.8649846925865073,281090,2427,#346888
Nebraska,NE,Midwest,2023-01-04,193905,350649,28696.841617693888,0.8439707879822883,555114,4685,#346888
Ohio,OH,Midwest,2023-01-04,177569,320288,28296.173358085736,1.237404642927976,3307568,41303,#346888
South Dakota,SD,Midwest,2023-01-04,187685,343368,30787.795071321267,1.1469818296636525,272367,3124,#346888
Wisconsin,WI,Midwest,2023-01-04,209797,381153,33746.470977601464,0.8059073748540613,1964866,15835,#346888
